"idTeam","slugTeam","urlThumbnailTeam","Transition2020-21","Transition2021-22","Isolation2020-21","Isolation2021-22","PRBallHandler2020-21","PRBallHandler2021-22","PRRollman2020-21","PRRollman2021-22","Postup2020-21","Postup2021-22","Spotup2020-21","Spotup2021-22","Handoff2020-21","Handoff2021-22","Cut2020-21","Cut2021-22","OffScreen2020-21","OffScreen2021-22","OffRebound2020-21","OffRebound2021-22"
1610612740,"NOP","https://stats.nba.com/media/img/teams/logos/NOP_logo.svg","0.163","0.148","0.053","0.045","0.178","0.18","0.045","0.048","0.042","0.052","0.235","0.23","0.059","0.06","0.079","0.069","0.026","0.041","0.065","0.064"
1610612750,"MIN","https://stats.nba.com/media/img/teams/logos/MIN_logo.svg","0.15","0.162","0.053","0.071","0.164","0.137","0.057","0.051","0.046","0.034","0.24","0.25","0.062","0.061","0.075","0.072","0.046","0.044","0.056","0.062"
1610612749,"MIL","https://stats.nba.com/media/img/teams/logos/MIL_logo.svg","0.194","0.184","0.086","0.1","0.145","0.136","0.061","0.049","0.067","0.044","0.198","0.254","0.045","0.059","0.069","0.059","0.038","0.021","0.048","0.048"
1610612748,"MIA","https://stats.nba.com/media/img/teams/logos/MIA_logo.svg","0.149","0.168","0.047","0.059","0.169","0.144","0.055","0.07","0.034","0.062","0.225","0.175","0.078","0.063","0.094","0.097","0.047","0.045","0.036","0.048"
1610612763,"MEM","https://stats.nba.com/media/img/teams/logos/MEM_logo.svg","0.181","0.196","0.041","0.041","0.203","0.164","0.051","0.042","0.039","0.028","0.229","0.229","0.052","0.059","0.063","0.067","0.039","0.049","0.061","0.067"
1610612747,"LAL","https://stats.nba.com/media/img/teams/logos/LAL_logo.svg","0.154","0.189","0.079","0.086","0.15","0.153","0.058","0.067","0.085","0.073","0.213","0.2","0.043","0.025","0.075","0.053","0.038","0.036","0.05","0.057"
1610612746,"LAC","https://stats.nba.com/media/img/teams/logos/LAC_logo.svg","0.129","0.184","0.081","0.093","0.198","0.171","0.056","0.048","0.063","0.028","0.237","0.225","0.034","0.041","0.055","0.082","0.044","0.04","0.051","0.037"
1610612754,"IND","https://stats.nba.com/media/img/teams/logos/IND_logo.svg","0.187","0.133","0.047","0.044","0.154","0.187","0.053","0.075","0.039","0.037","0.225","0.216","0.075","0.077","0.076","0.075","0.041","0.043","0.048","0.057"
1610612745,"HOU","https://stats.nba.com/media/img/teams/logos/HOU_logo.svg","0.169","0.172","0.078","0.076","0.162","0.184","0.066","0.064","0.031","0.049","0.263","0.204","0.042","0.037","0.054","0.073","0.033","0.036","0.048","0.051"
1610612744,"GSW","https://stats.nba.com/media/img/teams/logos/GSW_logo.svg","0.165","0.183","0.05","0.05","0.148","0.131","0.035","0.026","0.032","0.012","0.228","0.238","0.07","0.04","0.088","0.118","0.08","0.094","0.041","0.048"
1610612765,"DET","https://stats.nba.com/media/img/teams/logos/DET_logo.svg","0.144","0.147","0.055","0.065","0.164","0.148","0.05","0.051","0.048","0.049","0.243","0.258","0.069","0.053","0.07","0.064","0.055","0.047","0.046","0.056"
1610612743,"DEN","https://stats.nba.com/media/img/teams/logos/DEN_logo.svg","0.141","0.18","0.057","0.062","0.13","0.116","0.071","0.078","0.078","0.07","0.21","0.213","0.061","0.06","0.089","0.057","0.039","0.033","0.061","0.057"
1610612742,"DAL","https://stats.nba.com/media/img/teams/logos/DAL_logo.svg","0.123","0.138","0.062","0.079","0.218","0.204","0.068","0.063","0.048","0.07","0.244","0.229","0.05","0.045","0.051","0.048","0.043","0.026","0.043","0.037"
1610612739,"CLE","https://stats.nba.com/media/img/teams/logos/CLE_logo.svg","0.14","0.143","0.058","0.052","0.184","0.168","0.058","0.079","0.047","0.04","0.215","0.218","0.049","0.05","0.09","0.102","0.038","0.04","0.055","0.05"
1610612741,"CHI","https://stats.nba.com/media/img/teams/logos/CHI_logo.svg","0.127","0.165","0.041","0.061","0.182","0.217","0.082","0.078","0.054","0.043","0.244","0.217","0.051","0.042","0.082","0.065","0.035","0.025","0.046","0.043"
1610612766,"CHA","https://stats.nba.com/media/img/teams/logos/CHA_logo.svg","0.184","0.2","0.053","0.063","0.15","0.161","0.066","0.042","0.024","0.033","0.258","0.238","0.051","0.05","0.071","0.066","0.045","0.044","0.046","0.049"
1610612738,"BOS","https://stats.nba.com/media/img/teams/logos/BOS_logo.svg","0.159","0.141","0.099","0.121","0.154","0.141","0.056","0.097","0.024","0.048","0.216","0.229","0.053","0.042","0.087","0.06","0.051","0.04","0.042","0.034"
1610612751,"BKN","https://stats.nba.com/media/img/teams/logos/BKN_logo.svg","0.141","0.136","0.078","0.115","0.191","0.148","0.053","0.043","0.042","0.058","0.22","0.271","0.054","0.024","0.063","0.062","0.045","0.056","0.057","0.041"
1610612737,"ATL","https://stats.nba.com/media/img/teams/logos/ATL_logo.svg","0.132","0.155","0.049","0.053","0.223","0.256","0.069","0.067","0.046","0.04","0.225","0.187","0.034","0.045","0.069","0.064","0.032","0.037","0.066","0.05"
